X,P1,P2,P3,P4,P5
6.548348170000000437e+02,6.926852416992187500e+02,1.429278442382812500e+03,8.018247222900390625e+01,2.095380249023437500e+02,1.350938720703125000e+03
6.584735010000000557e+02,6.828520507812500000e+02,1.434848754882812500e+03,8.013021850585937500e+01,2.117438354492187500e+02,1.334052124023437500e+03
6.621121859999999515e+02,6.887463989257812500e+02,1.436329589843750000e+03,6.750850677490234375e+01,2.025330505371093750e+02,1.340207641601562500e+03
6.657508709999999610e+02,6.945372314453125000e+02,1.436703491210937500e+03,7.360968780517578125e+01,1.977070159912109375e+02,1.341491821289062500e+03
6.693895559999999705e+02,6.981805419921875000e+02,1.434997314453125000e+03,7.444025421142578125e+01,1.864542083740234375e+02,1.339094360351562500e+03
6.730282399999999825e+02,6.829821777343750000e+02,1.430857421875000000e+03,7.130130004882812500e+01,1.882344818115234375e+02,1.332478515625000000e+03
6.766669249999999920e+02,6.752147216796875000e+02,1.428288940429687500e+03,6.745946502685546875e+01,1.877313842773437500e+02,1.333090820312500000e+03
6.803056100000000015e+02,7.001930541992187500e+02,1.453770996093750000e+03,6.930987548828125000e+01,1.893422851562500000e+02,1.331066528320312500e+03
6.839442950000000110e+02,7.289809570312500000e+02,1.463188476562500000e+03,7.505756378173828125e+01,2.005329895019531250e+02,1.356675048828125000e+03
6.875829790000000230e+02,7.299564208984375000e+02,1.469483764648437500e+03,9.474296569824218750e+01,2.138500671386718750e+02,1.277527343750000000e+03
6.912216640000000325e+02,7.837850341796875000e+02,1.527366088867187500e+03,1.180388031005859375e+02,2.834515686035156250e+02,1.305573242187500000e+03
6.948603490000000420e+02,8.192830200195312500e+02,1.524445556640625000e+03,1.605842895507812500e+02,3.544818725585937500e+02,1.294539184570312500e+03
6.984990340000000515e+02,8.916783447265625000e+02,1.611720214843750000e+03,2.410881958007812500e+02,4.651937255859375000e+02,1.327822021484375000e+03
7.021377189999999473e+02,9.170595703125000000e+02,1.639310424804687500e+03,3.311930847167968750e+02,5.988388671875000000e+02,1.332732910156250000e+03
7.057764029999999593e+02,1.010464111328125000e+03,1.677353027343750000e+03,4.311790466308593750e+02,7.692288818359375000e+02,1.382821899414062500e+03
7.094150879999999688e+02,1.087368164062500000e+03,1.799264770507812500e+03,5.701769409179687500e+02,9.172120971679687500e+02,1.411461791992187500e+03
7.130537729999999783e+02,1.178111816406250000e+03,1.915947875976562500e+03,7.112910766601562500e+02,1.132895629882812500e+03,1.476630737304687500e+03
7.166924579999999878e+02,1.293051025390625000e+03,1.959607177734375000e+03,8.772869873046875000e+02,1.368986206054687500e+03,1.554542480468750000e+03
7.203311419999999998e+02,1.278741088867187500e+03,1.867356811523437500e+03,1.098989624023437500e+03,1.584346191406250000e+03,1.490435913085937500e+03
7.239698270000000093e+02,1.409672607421875000e+03,2.031165771484375000e+03,1.300531860351562500e+03,1.907888916015625000e+03,1.619875488281250000e+03
7.276085120000000188e+02,1.432640991210937500e+03,2.089360839843750000e+03,1.582752685546875000e+03,2.157437744140625000e+03,1.578540649414062500e+03
7.312471970000000283e+02,1.498535034179687500e+03,2.060139892578125000e+03,1.836546752929687500e+03,2.399223876953125000e+03,1.627903442382812500e+03
7.348858810000000403e+02,1.606249023437500000e+03,2.182174804687500000e+03,2.020264160156250000e+03,2.626622314453125000e+03,1.658351928710937500e+03
7.385245660000000498e+02,1.657817138671875000e+03,2.228316650390625000e+03,2.271138916015625000e+03,2.782931396484375000e+03,1.658252441406250000e+03
7.421632509999999456e+02,1.716454223632812500e+03,2.211815429687500000e+03,2.428627441406250000e+03,2.976523925781250000e+03,1.707283203125000000e+03
7.458019359999999551e+02,1.801391235351562500e+03,2.281303710937500000e+03,2.628172607421875000e+03,3.123612060546875000e+03,1.740432250976562500e+03
7.494406199999999671e+02,1.828425170898437500e+03,2.389292968750000000e+03,2.780968994140625000e+03,3.245929687500000000e+03,1.730935668945312500e+03
7.530793049999999766e+02,1.862018432617187500e+03,2.402218750000000000e+03,2.842687744140625000e+03,3.299791503906250000e+03,1.737595336914062500e+03
