x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59
2055,0.1226289527,0.0942293841,0.1202561365,0.1211271099,0.1119096107,0.0936403976,0.0871968982,0.1037515514,0.1275238529,0.1307831594,0.1041738713,0.1062087976,0.083276694,0.0898490965,0.1042907549,0.0827501189,0.0961883766,0.0835261442,0.2401138242,0.1123766496,0.1109419373,0.1301789223,0.1291334138,0.1203715203,0.1365992516,0.1486678195,0.1157974442,0.1148338978,0.1394633626,0.1963230253,0.1570805059,0.1658402178,0.1756051699,0.2648805016,0.1890321248,0.1357723206,0.1234259125,0.102301186,0.1321794472,0.0810551255,0.0898243322,0.1149704134,0.1229929597,0.1280277634,0.1273642863,0.1379292609,0.1491029992,0.1547625682,0.1197684635,0.1350945623,0.1417020205,0.1299883023,0.1277450181,0.1924226183,0.1641336112,0.1231545496,0.1248946793,0.0907743253,0.1296572074
2056,0.1228078512,0.0958664207,0.1206180554,0.1210731563,0.1102684984,0.0939146086,0.0872781445,0.1038157859,0.1275713684,0.1319834868,0.1041556704,0.1067150304,0.0850836005,0.0901998237,0.1043235457,0.0836258396,0.0963012842,0.0835134722,0.2403945655,0.1125362076,0.1106130196,0.1313141058,0.1313517125,0.1210663909,0.1374468435,0.1500541407,0.1157986388,0.1151161115,0.1396130289,0.1961163716,0.1581434205,0.1664994491,0.1748110343,0.2636547054,0.1889862038,0.1348146337,0.1230584783,0.1023931836,0.1322568992,0.0807598994,0.0896666999,0.1153021964,0.1240918875,0.1279310137,0.1267724795,0.1378886537,0.1496916936,0.1549526126,0.1215900485,0.1354952726,0.1428331487,0.1300628764,0.1284926818,0.192159089,0.164868052,0.1226619151,0.1258099359,0.0904953365,0.1301656597
2057,0.1225772715,0.0970218576,0.1210630133,0.1209916605,0.1092508764,0.0947895042,0.0864697945,0.1035501129,0.1270575995,0.1323084416,0.1039187507,0.1079518046,0.0861039786,0.0903470545,0.1046945628,0.0834240184,0.0969549202,0.083643024,0.2403318046,0.1126448725,0.1097861706,0.1314513507,0.1327327764,0.1214972066,0.1378049469,0.151228031,0.1154034212,0.1154941553,0.1388969596,0.1963690147,0.158521245,0.1669763169,0.1742115238,0.2630273205,0.1891365076,0.1346071523,0.1231419745,0.10279878,0.1327736458,0.0805296482,0.0900050441,0.1146953815,0.1251270395,0.1279191638,0.1259487985,0.1378775123,0.1500115929,0.1558071336,0.121688169,0.1342964869,0.143401294,0.1295771893,0.1287206433,0.192401253,0.1645264836,0.1219862571,0.1267336863,0.0907671427,0.1314201922
2058,0.1210763117,0.096711435,0.1209610658,0.1216670714,0.1088231851,0.0957075467,0.0858527358,0.1032446602,0.1269478431,0.1321950227,0.1035888814,0.1104097454,0.0859528208,0.0896398719,0.1053672534,0.0833526478,0.0979658861,0.0835589708,0.2398747262,0.11283983,0.1095842518,0.1309709524,0.1314850851,0.1206426448,0.1377107523,0.1519997485,0.1148075146,0.1158018806,0.1378299108,0.1967843317,0.1584268769,0.1675410098,0.1739336678,0.2640670838,0.1898176748,0.1356647344,0.1240297125,0.1036514991,0.1329824622,0.0803286718,0.0909691356,0.1143071354,0.1246407157,0.1274470115,0.1255674366,0.1379922697,0.1491911973,0.1566274536,0.1214552631,0.1320496809,0.1428974907,0.1296553354,0.1298485439,0.1923203012,0.1633868131,0.1213148087,0.1262788807,0.09177628,0.1321079902
2059,0.1203565016,0.0966324569,0.1201999434,0.1220162569,0.1086493179,0.0959305624,0.0852183052,0.1025989331,0.1272639488,0.1319122404,0.1034193077,0.1116985026,0.0860083061,0.0896137209,0.1060038448,0.083827137,0.098414304,0.0832302005,0.239480021,0.1132522663,0.1100704099,0.1306462471,0.1302005519,0.1200442635,0.1368246636,0.1522385002,0.1145198113,0.1159773669,0.1372844739,0.1966049924,0.15821747,0.1678451352,0.1734921845,0.2643079723,0.1898007101,0.1364741874,0.1245655473,0.1042502765,0.1326622163,0.0802878589,0.0916202192,0.114311712,0.1244402808,0.1271179493,0.1256079456,0.1383547102,0.1488256946,0.1566635955,0.121961415,0.1310873128,0.142281836,0.1296625895,0.1305579792,0.1918723903,0.1623105593,0.1215663984,0.1258781216,0.0923695946,0.13230015
2060,0.1201256232,0.0967108875,0.1202123008,0.1218327847,0.1097008404,0.0954692832,0.0853847752,0.1020226381,0.128320869,0.1310637664,0.1032284962,0.1097229296,0.085881897,0.0912371718,0.1057927667,0.0830526693,0.0978176896,0.0826851413,0.2394071844,0.1132445583,0.1107841512,0.1302506604,0.1296573793,0.1196627713,0.1365581682,0.1513394761,0.1152682226,0.1158386441,0.1373759029,0.1965875057,0.1575056017,0.1672627471,0.1739876345,0.2627163475,0.1890697736,0.1366323986,0.1248025984,0.1040156508,0.133748373,0.0811964571,0.0916741178,0.1154682277,0.1254913077,0.1272467446,0.1263992333,0.139630772,0.1502404709,0.1564194301,0.1223469183,0.1312195273,0.1418866955,0.1294651428,0.1305441361,0.1908452829,0.1622025244,0.1222933453,0.1259544249,0.0926975707,0.1320400353
2061,0.120410929,0.0966232254,0.1208626057,0.1219864091,0.110715023,0.0954978019,0.0863282502,0.1022668501,0.1292169996,0.1306737977,0.1030453022,0.107869335,0.0856569516,0.0922637744,0.1052519224,0.0824860661,0.097505292,0.0822859622,0.2392277362,0.1135825613,0.1115183582,0.1300966651,0.129168556,0.1193334669,0.1372194638,0.1505535911,0.116534254,0.1150384605,0.1382572536,0.1963803675,0.1573140657,0.1666721307,0.1749760208,0.2618421114,0.1885878429,0.1369209202,0.1251977665,0.1034104603,0.1344548877,0.0819476238,0.0920658244,0.1164201092,0.1260383176,0.1275515772,0.1270608566,0.140800163,0.1512216779,0.1563286086,0.1222342703,0.1317350917,0.1419533639,0.1296385774,0.1313826744,0.189990294,0.1626942452,0.1228720121,0.1262781264,0.0930345964,0.1313003802
2062,0.1217439762,0.0967311877,0.1215639651,0.1222420362,0.1119912179,0.0967804703,0.0876927828,0.1036442486,0.1294310885,0.131602904,0.1038041331,0.1068804973,0.0853864041,0.0915243995,0.105130152,0.0837109498,0.0973986401,0.0826709189,0.2383909973,0.1148071499,0.1126902541,0.1302819773,0.1300833795,0.1191954442,0.1380900226,0.150129616,0.1176178768,0.1141811098,0.1402270106,0.1953525834,0.1587090811,0.1652475754,0.1756448714,0.2623628355,0.1879599434,0.137134808,0.1254413786,0.103178871,0.1336282618,0.0818782429,0.0924487274,0.1164605286,0.125830646,0.128798769,0.1269465309,0.1408727959,0.1507184436,0.1563848465,0.1214083326,0.133076332,0.1424377111,0.1301528329,0.1318760844,0.1901768703,0.1640925793,0.123219336,0.1269102178,0.0927008922,0.1303237558
2063,0.1225335286,0.0965396925,0.1219270906,0.1225303458,0.1129963266,0.0977288499,0.0888138268,0.1046711618,0.1294199211,0.132583869,0.1048920455,0.1062502387,0.0852418676,0.090936082,0.1053076608,0.0849196946,0.0973911828,0.0832295738,0.2372927344,0.115482735,0.1133066413,0.1306464809,0.1316957465,0.1191022205,0.1388193223,0.1499208486,0.1181615078,0.1139740927,0.1417630389,0.1948933024,0.1600275298,0.1642611053,0.17588092,0.2630709354,0.1873408766,0.1371054511,0.125352116,0.1034485057,0.1330395996,0.0819321907,0.0920870524,0.1163158244,0.1257465271,0.1297352907,0.1268622162,0.1405114191,0.1503040561,0.1565219591,0.1208281649,0.1336665193,0.1424519153,0.13039553,0.1317128547,0.1907485388,0.165354972,0.1232644999,0.1271567772,0.092118665,0.1301770837
2064,0.1223123599,0.0960860683,0.1216758261,0.1231613067,0.1126559377,0.0976116923,0.0892002585,0.1043772135,0.1288868033,0.1327543436,0.1060666486,0.1065579397,0.0856228757,0.0917996337,0.1065333497,0.0855147207,0.0979881459,0.0839099645,0.2370100528,0.1150581881,0.1128560376,0.1311817344,0.1340250721,0.121325004,0.1395442136,0.1508994561,0.1182096484,0.114775626,0.1422351609,0.1961997509,0.1601237866,0.1657548593,0.1751163045,0.2633859795,0.1876180475,0.1371839943,0.1253821692,0.1038775667,0.1334126298,0.0823259141,0.0914201352,0.1159130133,0.1251749369,0.1292211958,0.1268194502,0.1394322357,0.1503790073,0.1563004399,0.120860545,0.1324942247,0.1415090613,0.1302947385,0.1316083197,0.1909225485,0.1653156845,0.1226775716,0.1258855813,0.0920871293,0.1319404384
2065,0.1221681523,0.0961107385,0.1213335578,0.1236658595,0.1121019312,0.0975870423,0.0890703977,0.104077747,0.1282251132,0.1330285854,0.1069589416,0.1074254778,0.0862005135,0.0929007218,0.1080839648,0.085989463,0.0984998482,0.0846640095,0.2374218567,0.1147448919,0.1124321496,0.1315042785,0.135900366,0.124364225,0.1397536376,0.1519278446,0.1182631197,0.1159730662,0.1425358872,0.1977887138,0.1598579041,0.1676170006,0.1740913686,0.2631519055,0.1881633328,0.1373676638,0.1256564804,0.1041097106,0.1337727696,0.0825292476,0.0914605604,0.1157117707,0.1243573543,0.1290102878,0.1267634621,0.1383924999,0.1504457368,0.1560915684,0.1208735593,0.1315994525,0.1407941256,0.1302209175,0.1315407975,0.1909430888,0.1647030576,0.1222330451,0.1246107145,0.0925121142,0.1335270118
