Wavelength,Black rubber,Window glass,Slate sonte,White marble,Fiberglass,Rubberized coating
2.300000,6.461940,8.497700,16.142040,13.528200,23.152399,21.629061
2.320000,6.424400,8.559800,16.469561,11.568800,23.118441,21.299200
2.340000,6.394200,8.467000,15.566940,9.876700,23.305719,21.406521
2.360000,6.524660,8.383900,15.576560,15.250600,21.711020,20.039881
2.380000,6.342300,8.299400,15.952260,28.476400,21.884260,20.065399
2.400000,6.430560,8.709300,15.692700,31.906601,21.463120,19.749180
2.420000,6.480480,8.326800,15.913380,27.974001,22.084860,20.441641
2.440000,6.222120,8.204700,15.513480,20.032600,22.754200,20.817980
2.460000,6.183640,8.227700,15.652560,13.725200,23.391680,21.189939
2.480000,6.269380,8.342500,15.555240,9.580600,23.403259,21.524200
2.500000,6.219820,8.386000,15.806680,8.342300,23.924120,21.715860
2.520000,6.477320,8.224300,15.891800,7.452700,24.084600,21.947100
2.540000,6.360040,8.202100,15.953440,7.342500,24.263700,22.192579
2.560000,6.331900,8.097500,16.048340,12.399300,24.851681,22.688360
2.580000,6.300720,8.143700,15.993320,19.959000,25.308340,23.032320
2.600000,6.216800,8.113600,15.884140,28.845600,25.477980,22.901320
2.620000,6.281040,7.916600,15.636120,33.410400,25.410780,22.842779
2.640000,6.222140,7.933800,15.569220,35.828400,25.391760,22.927441
2.660000,6.237940,7.838800,15.546300,34.257999,25.002300,22.338381
2.680000,6.239060,7.508300,15.001840,28.657400,23.260281,20.480721
2.700000,6.094900,6.994200,13.478220,19.218800,18.627001,15.839900
2.720000,5.612960,5.833900,8.340240,12.113800,14.035220,11.316100
2.740000,5.305660,4.696400,5.026700,9.150800,11.470060,8.750800
2.760000,5.223140,4.163300,4.757720,7.657500,9.869260,7.468180
2.780000,5.730580,4.030700,5.624480,6.192600,9.026780,6.806760
2.800000,6.006380,3.797800,6.526340,6.264300,8.569540,6.351800
2.820000,6.083580,3.808900,6.975440,6.963800,8.085500,5.994320
2.840000,5.950380,3.826800,7.341060,7.294600,8.061240,5.828060
2.860000,5.898100,3.707200,7.265980,7.190600,7.902080,5.746800
2.880000,5.887880,3.872900,6.905520,7.027300,7.761040,5.367920
2.900000,5.899860,3.723500,6.560820,6.956400,7.701540,5.183060
2.920000,6.006040,3.843400,6.676560,6.808900,7.517680,5.534520
2.940000,6.056100,3.823100,6.700820,6.646600,7.524880,5.291740
2.960000,5.978220,4.222000,6.792300,6.581700,7.645520,5.444360
2.980000,5.926320,3.901700,6.870280,6.532500,7.615160,5.474420
3.000000,5.909380,3.730700,7.230220,6.388300,7.537940,5.496560
3.020000,5.885420,3.604200,7.204200,6.292200,7.564200,5.523620
3.040000,5.851440,3.895600,7.381020,6.022500,7.616440,5.682740
3.060000,6.136900,4.055700,7.852120,5.887700,7.750460,5.444920
3.080000,5.964040,3.925300,8.263980,5.621400,7.886380,5.832600
3.100000,5.972020,4.015900,8.545140,5.326000,7.724080,5.877480
3.120000,5.912700,4.140500,8.783440,5.174500,7.800420,5.864360
3.140000,5.933940,3.968300,9.621440,5.124300,8.002660,5.904800
3.160000,6.033040,3.872100,9.731240,5.275500,8.163080,5.996140
3.180000,6.040960,3.969900,10.051380,5.592600,8.087900,6.047160
3.200000,6.176380,3.985000,10.195620,5.588400,8.290840,6.153840
3.220000,6.049220,4.124200,10.609000,5.519200,8.200340,6.285680
3.240000,6.143000,4.025200,10.733420,5.294400,8.295960,6.414540
3.260000,6.100240,3.934100,10.661280,5.115800,8.418800,6.129560
3.280000,6.011780,3.903600,10.287260,4.776800,8.378320,6.263040
3.300000,5.964960,3.796000,10.562100,4.487300,8.272420,6.462660
3.320000,6.044980,3.771900,10.854260,4.105000,8.036320,6.198040
3.340000,5.947120,3.804000,10.917960,3.704700,7.545000,5.961400
3.360000,5.871240,3.878500,11.171620,3.573000,6.754020,5.275940
3.380000,5.698800,3.672200,11.337360,3.563700,5.948760,4.673140
3.400000,5.431980,3.755100,11.467380,3.542000,5.306100,4.054540
3.420000,5.367700,3.855000,11.906020,3.631800,5.339180,3.858600
3.440000,5.785900,3.606700,12.156160,3.531700,5.813660,4.300400
3.460000,5.938280,3.580300,12.456400,3.501600,6.316220,4.882960
3.480000,5.911140,3.641400,12.971820,3.271300,6.405560,4.723840
3.500000,5.751260,3.536600,13.068660,3.433300,6.062900,4.402800
3.520000,6.067540,3.621800,13.326760,3.702400,6.323900,4.859020
3.540000,6.212440,3.558700,13.597620,3.975700,7.300900,5.714860
3.560000,6.229560,3.341200,13.802460,4.172900,7.801140,6.194620
3.580000,6.212740,3.427000,14.292560,4.321000,8.157940,6.630160
3.600000,6.281820,3.318600,14.722540,4.669500,8.632560,6.979540
3.620000,6.253120,3.304400,14.774140,4.905800,8.803000,7.158220
3.640000,6.285140,3.450900,15.215180,5.039900,8.901020,7.284880
3.660000,6.266780,3.675400,15.395300,5.176500,8.841340,7.363960
3.680000,6.140440,3.484000,15.612540,5.270700,8.912580,7.386460
3.700000,6.137140,3.424400,15.871620,5.247800,8.960960,7.347880
