x,y
8.011489159440345897e-01,2.938190387774801231e-03
8.043052823576213317e-01,2.961124869588130110e-03
8.074616487712080737e-01,2.981072504365174600e-03
8.106180151847948157e-01,2.997596919144604119e-03
8.137743815983815576e-01,3.010244431485837539e-03
8.169307480119682996e-01,3.018549376940099938e-03
8.200871144255552636e-01,3.022040445641070629e-03
8.232434808391420056e-01,3.020247911084306298e-03
8.263998472527287475e-01,3.012711601188614897e-03
8.295562136663154895e-01,2.998989458476813887e-03
8.327125800799022315e-01,2.978666564897443532e-03
8.358689464934889735e-01,2.951364559678201945e-03
8.390253129070757154e-01,2.916751438749553161e-03
8.421816793206624574e-01,2.874551769031414867e-03
8.453380457342491994e-01,2.824557357021909975e-03
8.484944121478359413e-01,2.766638360732793546e-03
8.516507785614226833e-01,2.700754719558873512e-03
8.548071449750094253e-01,2.626967604200242806e-03
8.579635113885961673e-01,2.545450378420387790e-03
8.611198778021829092e-01,2.456498348078029609e-03
8.642762442157696512e-01,2.360536389273754174e-03
8.674326106293563932e-01,2.258123435890683258e-03
8.705889770429431351e-01,2.149952800285531967e-03
8.737453434565298771e-01,2.036847420166225647e-03
8.769017098701166191e-01,1.919749374077062620e-03
8.800580762837033610e-01,1.799703373556334456e-03
8.832144426972901030e-01,1.677834390916141481e-03
8.863708091108768450e-01,1.555320073080448170e-03
8.895271755244635870e-01,1.433359071241381002e-03
8.926835419380503289e-01,1.313136829075100577e-03
8.958399083516372929e-01,1.195790670254388626e-03
8.989962747652240349e-01,1.082376172167597147e-03
9.021526411788107769e-01,9.738367868513265590e-04
9.053090075923975188e-01,8.709784711604909475e-04
9.084653740059842608e-01,7.744507345595353634e-04
9.116217404195710028e-01,6.847350402076379013e-04
9.147781068331577448e-01,6.021409515015061983e-04
9.179344732467444867e-01,5.268098568700088028e-04
9.210908396603312287e-01,4.587255852181446113e-04
9.242472060739179707e-01,3.977307911582805464e-04
9.274035724875047126e-01,3.435476790913010239e-04
9.305599389010914546e-01,2.958014686308889189e-04
9.337163053146781966e-01,2.540449840747209987e-04
9.368726717282649386e-01,2.177828648559652143e-04
9.400290381418516805e-01,1.864941164153590899e-04
9.431854045554384225e-01,1.596520174654561194e-04
9.463417709690251645e-01,1.367407325140868718e-04
9.494981373826119064e-01,1.172683116161158350e-04
9.526545037961986484e-01,1.007760620042325169e-04
9.558108702097853904e-01,8.684452608768651377e-05
9.589672366233721323e-01,7.509648423433649424e-05
9.621236030369588743e-01,6.519751477893487160e-05
9.652799694505456163e-01,5.685469154326254970e-05
9.684363358641325803e-01,4.981399018286367336e-05
9.715927022777193223e-01,4.385692165590890156e-05
9.747490686913060642e-01,3.879682810577330456e-05
9.779054351048928062e-01,3.447517713778641782e-05
9.810618015184795482e-01,3.075808698064448122e-05
9.842181679320662901e-01,2.753321726793726243e-05
9.873745343456530321e-01,2.470707558350866551e-05
9.905309007592397741e-01,2.220272341795129399e-05
9.936872671728265161e-01,1.995781934640097378e-05
9.968436335864132580e-01,1.792291244819612053e-05
1.000000000000000000e+00,1.605989369304723909e-05
